Name,Symbol,ISIN,WKN,Exchange
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF,EKUS,LU1659681669,A2H5E5,XETR
BNP Paribas Easy MSCI USA SRI S-Series 5% Capped UCITS ETF,EKLD,LU1291103338,A2AL1U,XETR
BNP Paribas Easy MSCI World SRI S-Series 5% Capped UCITS ETF - EUR,EMWE,LU1615092217,A2DVEZ,XETR
BNP Paribas Easy MSCI World SRI S-Series 5% Capped UCITS ETF - USD,EWRD,LU1291108642,A2AL1S,XETR
BNP Paribas Easy S&P 500 UCITS ETF,ESEA,FR0011550680,A1W6FE,XETR
BNP Paribas Easy S&P 500 UCITS ETF,ESAP,FR0011550177,A1W4DQ,XETR
BNP Paribas Easy S&P 500 UCITS ETF - C,ESEE,FR0011550185,A1W4DP,XETR
BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged - C,ESEH,FR0013041530,A14Z68,XETR
BNP Paribas Easy STOXX Europe 600 UCITS ETF,ETSA,FR0011550672,A1W6FD,XETR
BNP Paribas Easy STOXX Europe 600 UCITS ETF EUR - C,ETSZ,FR0011550193,A1W37K,XETR
CSIF (IE) MSCI USA Blue UCITS ETF B (USD) - Acc,CSY1,IE00BJBYDR19,A2PW7G,XETR
CSIF (IE) MSCI USA ESG Leaders Blue UCITS ETF B (USD) - Acc,CSY2,IE00BJBYDP94,A2PW7A,XETR
CSIF (IE) MSCI USA Small Cap ESG Leaders Blue UCITS ETF - B USD,CSY8,IE00BMDX0L03,A2P4U1,XETR
CSIF (IE) MSCI World ESG Leaders Blue UCITS ETF B (USD) - Acc,CSY5,IE00BJBYDQ02,A2PW7D,XETR
CSIF (IE) MSCI World ESG Leaders Blue UCITS ETF BH (EUR) - Acc,CSY7,IE00BKKFT300,A2PW7F,XETR
Deka DAX (ausschuettend) UCITS ETF,EL4F,DE000ETFL060,ETFL06,XETR
Deka DAX ex Financials 30 UCITS ETF,ELF0,DE000ETFL433,ETFL43,XETR
Deka DAX UCITS ETF,EL4A,DE000ETFL011,ETFL01,XETR
Deka Deutsche Boerse EUROGOV France UCITS ETF,EFQ2,DE000ETFL425,ETFL42,XETR
Deka Deutsche Boerse EUROGOV Germany 1-3 UCITS ETF,EL4S,DE000ETFL185,ETFL18,XETR
Deka Deutsche Boerse EUROGOV Germany 10+ UCITS ETF,EL4V,DE000ETFL219,ETFL21,XETR
Deka Deutsche Boerse EUROGOV Germany 3-5 UCITS ETF,EL4T,DE000ETFL193,ETFL19,XETR
Deka Deutsche Boerse EUROGOV Germany 5-10 UCITS ETF,EL4U,DE000ETFL201,ETFL20,XETR
Deka Deutsche Boerse EUROGOV Germany Money Market UCITS ETF,EL4W,DE000ETFL227,ETFL22,XETR
Deka Deutsche Boerse EUROGOV Germany UCITS ETF,EL4R,DE000ETFL177,ETFL17,XETR
Deka Euro Corporates 0-3 Liquid UCITS ETF,ELFF,DE000ETFL532,ETFL53,XETR
Deka EURO STOXX 50 ESG UCITS ETF,ELFA,DE000ETFL466,ETFL46,XETR
Deka EURO STOXX 50 UCITS ETF,EL4B,DE000ETFL029,ETFL02,XETR
Deka Eurozone Rendite Plus 1-10 UCITS ETF,ELFD,DE000ETFL490,ETFL49,XETR
Deka Germany 30 UCITS ETF,ELFG,DE000ETFL516,ETFL51,XETR
Deka iBoxx EUR Liquid Corporates Diversified UCITS ETF,EL49,DE000ETFL375,ETFL37,XETR
Deka iBoxx EUR Liquid Germany Covered Diversified UCITS ETF,EL48,DE000ETFL359,ETFL35,XETR
Deka iBoxx EUR Liquid Non-Financials Diversified UCITS ETF,EFQ8,DE000ETFL383,ETFL38,XETR
Deka iBoxx EUR Liquid Sovereign Diversified 1-10 UCITS ETF,EL4K,DE000ETFL110,ETFL11,XETR
Deka iBoxx EUR Liquid Sovereign Diversified 1-3 UCITS ETF,EL4L,DE000ETFL128,ETFL12,XETR
Deka iBoxx EUR Liquid Sovereign Diversified 10+ UCITS ETF,EL4Q,DE000ETFL169,ETFL16,XETR
Deka iBoxx EUR Liquid Sovereign Diversified 3-5 UCITS ETF,EL4M,DE000ETFL136,ETFL13,XETR
Deka iBoxx EUR Liquid Sovereign Diversified 5-7 UCITS ETF,EL4N,DE000ETFL144,ETFL14,XETR
